,Compound_Score,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Time,Tweets,Tweets_Ago
113,0.6964,0.0,0.883,0.117,CBS,2018-04-05 21:44:00+00:00,"How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year® with this quiz! Plus, don't forget to tune in to the 53rd #ACMawards, hosted by the one and only @reba, on Sunday, Apr. 15 at 8/7c on CBS and CBS All Access. https://t.co/WykiA8KUUr",14
114,0.6597,0.0,0.759,0.241,CBS,2018-04-05 19:07:48+00:00,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh",15
115,-0.3875,0.082,0.88,0.038,CBS,2018-04-05 17:00:00+00:00,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday, April 10 at 9/8c on CBS and CBS All Access. #EltonSalute https://t.co/Swlw2OoROd",16
116,0.8217,0.0,0.844,0.156,CBS,2018-04-04 22:07:01+00:00,"Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dropping on April 6! Watch Elton John: I'm Still Standing—A GRAMMY® Salute on Tuesday, Apr. 10 at 9/8c on CBS and CBS All Access: https://t.co/eAvlZ3IDdY #EltonSalute https://t.co/RkLnBpV8AL",17
117,0.7568,0.0,0.712,0.288,CBS,2018-04-04 21:48:07+00:00,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! 😂

Introducing Laughing To Pieces! Foll…",18
118,0.8495,0.0,0.634,0.366,CBS,2018-04-04 21:47:26+00:00,"RT @YoungSheldon: Don't miss guest star @Followtheblonde in tomorrow's all-new #YoungSheldon! Trust us, you're going to love every minute.…",19
119,0.4926,0.0,0.803,0.197,CBS,2018-04-04 21:46:13+00:00,RT @MomCBS: Tomorrow's episode of #Mom is going to be a doggone good one! https://t.co/e1WI3uOxVg,20
120,-0.3182,0.095,0.905,0.0,CBS,2018-04-04 21:44:17+00:00,RT @survivorcbs: There's a lot at stake when competing for actual steak. Get a glimpse at an all-new #Survivor: Ghost Island at 8/7c on CBS…,21
121,-0.25,0.133,0.867,0.0,CBS,2018-04-04 18:02:13+00:00,RT @TVLine: #LifeInPieces Sneak Peek: Sophia and Her Stuffed Toys Stage a Musical Protest https://t.co/r16SLZlZPc,22
122,0.6239,0.0,0.911,0.089,CBS,2018-04-03 23:00:00+00:00,"Whose catchy tune will take Song Of The Year at the 53rd #ACMawards? Give it up for the four nominees - @SamHuntMusic, @KeithUrban, @mirandalambert, and @ChrisStapleton. Find out who will win on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/nZwgJ0I1z3",23
123,0.0,0.0,1.0,0.0,CBS,2018-04-03 21:00:02+00:00,"Here's everything you need to know before tuning into Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday, April 10 on CBS: https://t.co/kydcW3yyiD #EltonSalute https://t.co/oAmOKpP2Bc",24
